"sample_name","library_ID","community","site","treehole_number_site","latlong","collection_date"
"day0_B10.AE26_052214DR16s-Sam161-240-pr_filt","day0_B10.AE26","AE26","AE","26","51.78573 N 0.55218 W",2013-10-30
"day0_B10.WF02_052214DR16s-Sam321-400-pr_filt","day0_B10.WF02","WF02","WF","2","51.4503 N 0.6338 W",2013-10-21
"day0_B10.WiW10_052214DR16s-Sam1-80-pr_filt","day0_B10.WiW10","WiW10","WiW","10","51.4378 N 0.5995 W",2013-09-18
"day0_B10.WiW42_052214DR16s-Sam701-775-pr_filt","day0_B10.WiW42","WiW42","WiW","42","51.4427 N 0.6017 W",2013-09-18
"day0_B10.WYM10_052214DR16s-Sam401-475-pr_filt","day0_B10.WYM10","WYM10","WYM","10","51.7693 N 1.3297 W",2013-10-22
"day0_B10.WYT88_052214DR16s-Sam626-700-pr_filt","day0_B10.WYT88","WYT88","WYT","88","51.7725 N 1.337 W",2013-10-25
"day0_B11.AE10_052214DR16s-Sam476-550_filt","day0_B11.AE10","AE10","AE","10","51.78638 N 0.55215 W",2013-10-30
"day0_B11.AE129_052214DR16s-Sam851-925-pr_filt","day0_B11.AE129","AE129","AE","129","51.79772 N 0.56295 W",2013-11-21
"day0_B11.AE161_052214DR16s-Sam551-625-pr_filt","day0_B11.AE161","AE161","AE","161","51.7953 N 0.56182 W",2013-11-21
"day0_B11.AE34_052214DR16s-Sam161-240-pr_filt","day0_B11.AE34","AE34","AE","34","51.7852 N 0.55218 W",2013-10-30
"day0_B11.AE74_052214DR16s-Sam776-850-pr_filt","day0_B11.AE74","AE74","AE","74","51.79052 N 0.55762 W",2013-11-18
"day0_B11.BWd02_052214DR16s-Sam321-400-pr_filt","day0_B11.BWd02","BWd02","BWd","2","51.1946 N 1.0674 W",2013-10-03
"day0_B11.WiW50_052214DR16s-Sam626-700-pr_filt","day0_B11.WiW50","WiW50","WiW","50","51.43 N 0.5944 W",2013-09-18
"day0_B11.WYC02_052214DR16s-SAM81-160-pr_filt","day0_B11.WYC02","WYC02","WYC","2","51.7698 N 1.3294 W",2013-10-22
"day0_B12.AE137_052214DR16s-Sam851-925-pr_filt","day0_B12.AE137","AE137","AE","137","51.79709 N 0.56201 W",2013-11-21
