sampleid,parent,replicate,replicate.partition,partition,Location,Time
LW06.4,LW06,4,4.1,1,LongWood,Final
LW07,LW07,0,0.1,1,LongWood,Starting
LW07.1,LW07,1,1.1,1,LongWood,Final
LW07.2,LW07,2,2.1,1,LongWood,Final
LW07.3,LW07,3,3.1,1,LongWood,Final
LW07.4,LW07,4,4.1,1,LongWood,Final
LW08,LW08,0,0.3,3,LongWood,Starting
LW08.1,LW08,1,1.1,1,LongWood,Final
LW08.2,LW08,2,2.1,1,LongWood,Final
LW08.3,LW08,3,3.1,1,LongWood,Final
LW08.4,LW08,4,4.1,1,LongWood,Final
LW09,LW09,0,0.3,3,LongWood,Starting
LW09.1,LW09,1,1.1,1,LongWood,Final
LW09.2,LW09,2,2.1,1,LongWood,Final
LW09.3,LW09,3,3.1,1,LongWood,Final
LW09.4,LW09,4,4.1,1,LongWood,Final
LW10,LW10,0,0.3,3,LongWood,Starting
LW10.1,LW10,1,1.1,1,LongWood,Final
LW10.2,LW10,2,2.1,1,LongWood,Final
LW10.3,LW10,3,3.1,1,LongWood,Final
LW10.4,LW10,4,4.1,1,LongWood,Final
LW11,LW11,0,0.3,3,LongWood,Starting
LW11.1,LW11,1,1.1,1,LongWood,Final
LW11.2,LW11,2,2.1,1,LongWood,Final
LW11.3,LW11,3,3.1,1,LongWood,Final
LW11.4,LW11,4,4.1,1,LongWood,Final
LW12,LW12,0,0.3,3,LongWood,Starting
LW12.1,LW12,1,1.1,1,LongWood,Final
LW12.2,LW12,2,2.1,1,LongWood,Final
LW12.3,LW12,3,3.1,1,LongWood,Final
LW12.4,LW12,4,4.1,1,LongWood,Final
OWW01,OWW01,0,0.3,3,OldWindsorWood,Starting
OWW01.1,OWW01,1,1.2,2,OldWindsorWood,Final
OWW01.2,OWW01,2,2.1,1,OldWindsorWood,Final
OWW01.3,OWW01,3,3.1,1,OldWindsorWood,Final
OWW01.4,OWW01,4,4.1,1,OldWindsorWood,Final
OWW02,OWW02,0,0.3,3,OldWindsorWood,Starting
OWW02.1,OWW02,1,1.1,1,OldWindsorWood,Final
OWW02.2,OWW02,2,2.1,1,OldWindsorWood,Final
OWW02.3,OWW02,3,3.1,1,OldWindsorWood,Final
OWW02.4,OWW02,4,4.1,1,OldWindsorWood,Final
OWW03,OWW03,0,0.1,1,OldWindsorWood,Starting
OWW03.1,OWW03,1,1.1,1,OldWindsorWood,Final
OWW03.2,OWW03,2,2.1,1,OldWindsorWood,Final
OWW03.3,OWW03,3,3.1,1,OldWindsorWood,Final
OWW03.4,OWW03,4,4.1,1,OldWindsorWood,Final
OWW04,OWW04,0,0.3,3,OldWindsorWood,Starting
OWW04.1,OWW04,1,1.1,1,OldWindsorWood,Final
OWW04.2,OWW04,2,2.1,1,OldWindsorWood,Final
OWW04.3,OWW04,3,3.1,1,OldWindsorWood,Final
OWW04.4,OWW04,4,4.1,1,OldWindsorWood,Final
OWW05,OWW05,0,0.3,3,OldWindsorWood,Starting
