EC	Final.Rep1.Class1	Final.Rep1.Class2	Final.Rep2.Class1	Final.Rep2.Class2	Final.Rep3.Class1	Final.Rep3.Class2	Final.Rep4.Class1	Final.Rep4.Class2	Starting.Class1	Starting.Class2	Starting.Class3	Starting.Class4	Starting.Class5
2.8.1.2	0.00135323375403156	0.00128046632747503	0.00135730366239332	0.00123562317826683	0.00137161581273765	0.00124566658939066	0.0013509449348898	0.00123546890099263	0.00133574358155021	0.00123548362349716	0.00127596984749818	0.00141271785543761	0.00123934692631021
2.8.1.6	0.000831591642396649	0.000766880850393443	0.00081909450754372	0.000788159420057494	0.000842467663920568	0.000789566874312379	0.000830078370017476	0.000780604676290266	0.00088512464710807	0.000834196707203921	0.000817698717607518	0.000846451685455786	0.000954285240030127
2.8.1.7	0.00194902840085964	0.00232735439005236	0.00192669472759091	0.00230955362933785	0.00186238260631722	0.0024135781490672	0.00193176712064865	0.00233594477596916	0.00193069091371419	0.00209569199042458	0.00231378354317407	0.0018442002391783	0.00271836655293258
2.8.1.8	0.000906085860324384	0.00102430266178764	0.000898378008966469	0.00102106234442355	0.000889135056726102	0.00101657969138126	0.000906633644513288	0.00103209966065457	0.000904988054473	0.000882810692457134	0.000981400047967113	0.000890398353975351	0.000974115853276851
2.8.2.1	6.82497911385728e-07	0	6.77809151438461e-07	3.9442953934632e-07	2.6057674768953e-07	3.35193798099893e-07	1.02726949911612e-06	2.22698357616097e-06	2.8029861740726e-07	1.83674231132085e-06	4.30160386839257e-07	1.85210793026199e-08	6.1630165225095e-08
2.8.2.22	5.03691287650579e-07	8.87124190318722e-07	2.25162458920853e-07	6.79609429186699e-08	4.29910693813526e-07	7.85340831719696e-07	3.57827880599774e-07	0	1.10474504852058e-06	1.11142162494378e-07	7.84558756666054e-07	6.09340117234368e-06	1.45281173925191e-06
2.8.3.1	1.6678839588208e-05	3.89166196008332e-05	1.34632132178754e-05	3.68139469499252e-05	1.28224533405979e-05	5.67563758310575e-05	1.36387826797561e-05	3.38701922497504e-05	1.82598407773064e-05	0.000163954932983753	4.765871133041e-05	2.28592434542091e-05	8.66816822050063e-06
2.8.3.10	0.00019915028364861	4.00222602951595e-05	0.000206625694388121	4.58116880502672e-05	0.000231335392290958	5.50553638460899e-05	0.000209291955824989	4.00472395813391e-05	0.000142998789042707	0.000100272593278544	6.72010348694932e-05	0.000248512264443238	3.41820335075937e-05
2.8.3.12	0.000473941788622566	0.000136700367068848	0.000468505834561368	0.000131507888220505	0.000537083981690158	0.000141669507665463	0.000458348183956268	0.000100448347871171	0.000604053537189234	0.000461069898996	0.000396236326016875	0.000571294484429167	0.000330214659347084
2.8.3.15	0	0	0	0	0	0	0	0	6.15561193580856e-08	7.91293039673599e-08	1.46229283140739e-06	4.16045540091859e-07	2.52211367896905e-08
2.8.3.16	0.000386375965585332	0.000788299956227343	0.000364212361491256	0.000772114346794278	0.000373477897187074	0.00065475474296757	0.000365396637973799	0.000787450014470138	0.000386782666431589	0.000383023679474256	0.000574519861809246	0.000444337675819915	0.000318817778371954
2.8.3.17	0	0	0	0	0	2.18567611687119e-09	8.40383357479114e-10	2.05114552999073e-07	0	0	0	0	0
2.8.3.18	0.000238916127964285	0.000166893778849396	0.0002252805353788	0.000178928229324841	0.000247293819030817	0.000176476690699693	0.000234429779401928	0.000171349036791079	0.000284385074853911	0.000181158584840068	0.000229368052022726	0.000239464820040167	0.000136866586119353
2.8.3.19	1.36030148271013e-05	1.17134849603638e-05	1.29791543299026e-05	1.13650581195013e-05	1.49170624233973e-05	1.77909874057178e-05	1.23027010094473e-05	1.32927935471853e-05	8.75592035443188e-06	6.39028086229524e-06	1.04474471439278e-05	1.17016514644681e-05	3.88306983485042e-05
2.8.3.20	2.17762820147548e-07	1.19072425268902e-07	1.9872514186054e-07	7.86514030476428e-08	5.76963002113985e-07	7.2839595122357e-08	1.83102916758975e-07	3.67866314464481e-07	4.19433096318726e-07	9.89879961947579e-09	3.06814975103126e-07	5.90502651178706e-08	5.91533004442488e-09
2.8.3.21	5.57917757006548e-06	6.19524011822744e-06	4.22429105358314e-06	8.26135332805198e-06	4.86197532852888e-06	1.12093396189941e-05	4.1023008189578e-06	8.1313157988118e-06	8.06698111724356e-06	5.4466657319272e-06	9.29341410297233e-06	1.22368952648401e-05	8.27483874409115e-07
