sampleid	Name.2	Community	Species	replicate	BreakingBag	parent	Location	Experiment	Part_Time0D_17	Part_Time0D_6	Part_Time4M_64	Part_Time7D_rep1_2	Part_Time7D_rep2_2	Part_Time7D_rep3_2	Part_Time7D_rep4_2	replicate.partition	partition	Time0D_7D_4M	Time0D_7D	Time0D_7D_matched	ExpCompact	exp.replicate.partition	exp.partition	ancestral.class	Examples	startnone_final_class
BCW25	NA	NA	NA	Rep0	NA	BCW25	AshCopse	0D	17	6	NA	NA	NA	NA	NA	Rep0.Class6	Class6	2	1	NA	Starting	Starting.Rep0.Class6	Starting.Class6	6	 Other	Starting communities
BCW26	NA	NA	NA	Rep0	NA	BCW26	AshCopse	0D	12	1	NA	NA	NA	NA	NA	Rep0.Class1	Class1	2	1	NA	Starting	Starting.Rep0.Class1	Starting.Class1	1	 Other	Starting communities
BW01	NA	NA	NA	Rep0	NA	BW01	BishamWoods	0D	9	4	NA	NA	NA	NA	NA	Rep0.Class4	Class4	1	1	NA	Starting	Starting.Rep0.Class4	Starting.Class4	4	 Other	Starting communities
BW02	NA	NA	NA	Rep0	NA	BW02	BishamWoods	0D	9	4	NA	NA	NA	NA	NA	Rep0.Class4	Class4	1	1	NA	Starting	Starting.Rep0.Class4	Starting.Class4	4	 Other	Starting communities
BW03	NA	NA	NA	Rep0	NA	BW03	BishamWoods	0D	9	4	NA	NA	NA	NA	NA	Rep0.Class4	Class4	1	1	NA	Starting	Starting.Rep0.Class4	Starting.Class4	4	 Other	Starting communities
BW04	NA	NA	NA	Rep0	NA	BW04	BishamWoods	0D	9	4	NA	NA	NA	NA	NA	Rep0.Class4	Class4	1	1	NA	Starting	Starting.Rep0.Class4	Starting.Class4	4	 Other	Starting communities
BW05	NA	NA	NA	Rep0	NA	BW05	BishamWoods	0D	9	4	NA	NA	NA	NA	NA	Rep0.Class4	Class4	1	1	NA	Starting	Starting.Rep0.Class4	Starting.Class4	4	 Other	Starting communities
BW06	NA	NA	NA	Rep0	NA	BW06	BishamWoods	0D	9	4	NA	NA	NA	NA	NA	Rep0.Class4	Class4	2	1	NA	Starting	Starting.Rep0.Class4	Starting.Class4	4	 Other	Starting communities
BW07	NA	NA	NA	Rep0	NA	BW07	BishamWoods	0D	9	4	NA	NA	NA	NA	NA	Rep0.Class4	Class4	1	1	NA	Starting	Starting.Rep0.Class4	Starting.Class4	4	 Other	Starting communities
BW08	NA	NA	NA	Rep0	NA	BW08	BishamWoods	0D	9	4	NA	NA	NA	NA	NA	Rep0.Class4	Class4	1	1	NA	Starting	Starting.Rep0.Class4	Starting.Class4	4	 Other	Starting communities
BW09	NA	NA	NA	Rep0	NA	BW09	BishamWoods	0D	7	1	NA	NA	NA	NA	NA	Rep0.Class1	Class1	2	1	NA	Starting	Starting.Rep0.Class1	Starting.Class1	1	 Other	Starting communities
